Sample	Distance(cm)
708	24.473	
709	24.4231	
710	24.2314	
711	24.1514	
712	24.0069	
713	23.8108	
714	23.7093	
715	23.4789	
716	23.3516	
717	23.1555	
718	23.0024	
719	22.759	
720	22.5716	
721	22.44	
722	22.2826	
723	22.1639	
724	22.0581	
725	21.9347	
726	21.8376	
727	21.7748	
728	21.7077	
729	21.632	
730	21.5778	
731	21.5323	
732	21.4781	
733	21.4196	
734	21.3955	
735	21.4144	
736	21.4462	
737	21.4824	
738	21.5443	
739	21.6105	
740	21.6982	
741	21.7941	
742	21.8861	
743	21.9997	
744	22.1046	
745	22.2181	
746	22.3531	
747	22.4838	
748	22.6232	
749	22.7625	
750	22.8975	
751	23.054	
752	23.1675	
753	23.3193	
754	23.4457	
755	23.5722	
756	23.7115	
757	23.7992	
758	23.9299	
759	24.0348	
760	24.0839	
761	24.163	
762	24.2593	
763	24.3212	
764	24.3616	
765	24.3806	
766	24.3862	
767	24.3707	
768	24.3724	
769	24.3612	
770	24.3457	
771	24.3002	
772	24.2374	
773	24.1402	
774	24.086	
775	24.0103	
776	23.9089	
777	23.7859	
778	23.6887	
779	23.5528	
780	23.4212	
781	23.2983	
782	23.1151	
783	23.0093	
784	22.8476	
785	22.7328	
786	22.5797	
787	22.4481	
788	22.3252	
789	22.1807	
790	22.062	
791	21.9433	
792	21.8332	
793	21.7318	
794	21.6389	
795	21.546	
796	21.4832	
797	21.4247	
798	21.362	
799	21.3293	
800	21.3138	
801	21.3026	
802	21.3215	
803	21.3405	
804	21.3762	
805	21.4166	
806	21.4785	
807	21.5447	
808	21.6238	
809	21.7245	
810	21.9326	
811	22.0418	
812	22.2026	
813	22.3376	
814	22.4727	
815	22.6292	
816	22.7857	
817	22.9547	
818	23.137	
819	23.2806	
820	23.5317	
821	23.6238	
822	23.8749	
823	24.0529	
824	24.1836	
825	24.396	
826	24.5268	
827	24.6575	
828	24.9297	
829	25.0303	
830	25.0965	
831	25.2014	
832	25.2763	
833	25.3167	
834	25.3184	
835	25.2771	
836	25.2315	
837	25.2204	
838	25.2565	
839	25.241	
840	25.1997	
841	25.0337	
842	24.928	
843	24.8304	
844	24.7461	
845	24.5715	
846	24.4227	
847	24.2911	
848	24.009	
849	23.856	
850	23.7115	
851	23.5068	
852	23.3709	
853	23.2006	
854	23.0562	
855	22.8988	
856	22.7457	
857	22.6012	
858	22.3579	
859	22.1962	
860	22.0345	
861	21.9072	
862	21.7885	
863	21.6742	
864	21.5727	
865	21.497	
866	21.417	
867	21.3624	
868	21.2996	
869	21.254	
870	21.23	
871	21.2231	
872	21.2119	
873	21.2394	
874	21.254	
875	21.2515	
876	21.2274	
877	21.285	
878	21.3684	
879	21.4733	
880	21.5654	
881	21.666	
882	21.835	
883	21.9356	
884	22.1179	
885	22.3217	
886	22.4094	
887	22.6649	
888	22.701	
889	22.922	
890	23.0011	
891	23.1662	
892	23.3357	
893	23.4359	
894	23.6483	
895	23.7661	
896	23.8968	
897	24.0017	
898	24.1024	
899	24.1901	
900	24.2692	
901	24.3354	
