Sample,Distance
809,17.2366
810,17.1953
811,17.1884
812,17.2112
813,17.2645
814,17.3522
815,17.4571
816,17.6008
817,17.7831
818,17.9869
819,18.2165
820,18.4719
821,18.7489
822,19.043
823,19.341
824,19.6609
825,19.998
826,20.3437
827,20.7023
828,21.0653
829,21.4368
830,21.7997
831,22.1708
832,22.538
833,22.9095
834,23.2639
835,23.5967
836,23.9123
837,24.1978
838,24.4575
839,24.6872
840,24.9034
841,25.0858
842,25.2466
843,25.373
844,25.4865
845,25.5484
846,25.5975
847,25.6164
848,25.6052
849,25.5725
850,25.5184
851,25.4126
852,25.2724
853,25.1017
854,24.9013
855,24.6579
856,24.4016
857,24.1239
858,23.8117
859,23.4995
860,23.1658
861,22.8063
862,22.4555
863,22.1046
864,21.7494
865,21.3899
866,21.0347
867,20.6839
868,20.3158
869,19.9821
870,19.6484
871,19.3362
872,19.0284
873,18.7377
874,18.4642
875,18.2208
876,17.9946
877,17.7986
878,17.6326
879,17.4967
880,17.3952
881,17.3238
882,17.2869
883,17.3015
884,17.3376
885,17.4292
886,17.5255
887,17.6347
888,17.7826
889,17.9607
890,18.1731
891,18.3855
892,18.6452
893,18.9308
894,19.2292
895,19.5444
896,19.8772
897,20.2186
898,20.5772
899,20.9229
900,21.2773
901,21.6316
902,21.9859
903,22.3441
904,22.6984
905,23.0441
906,23.3855
907,23.7055
908,24.0168
909,24.3109
910,24.6222
911,24.9765
912,25.1713
913,25.3924
914,25.5403
915,25.6796
916,25.6985
917,25.7217
918,25.7407
919,25.7424
920,25.7097
921,25.6426
922,25.5497
923,25.4354
924,25.2909
925,25.1206
926,24.9245
927,24.7022
928,24.4545
929,24.1724
930,23.8818
931,23.5782
932,23.2488
933,22.9065
934,22.5298
935,22.1532
936,21.7679
937,21.3869
938,21.0231
939,20.6765
940,20.3257
941,19.9834
942,19.654
943,19.3375
944,19.0383
945,18.7433
946,18.4784
947,18.235
948,18.0217
949,17.8256
950,17.6597
951,17.5195
952,17.4008
953,17.3251
954,17.2796
955,17.2684
956,17.2873
957,17.3363
958,17.4193
959,17.5285
960,17.6635
961,17.8244
962,18.0282
963,18.2492
964,18.5003
965,18.7772
966,19.0456
967,19.3526
968,19.6463
969,19.9748
970,20.3248
971,20.6748
972,21.0335
973,21.3964
974,21.7593
975,22.1136
976,22.4636
977,22.8132
978,23.1503
979,23.4703
980,23.7773
981,24.0585
982,24.3311
983,24.5736
984,24.7947
985,24.9942
986,25.1675
987,25.2982
988,25.416
989,25.4994
990,25.5441
991,25.576
992,25.582
993,25.5622
994,25.5123
995,25.4194
996,25.2965
997,25.1348
998,24.9301
999,24.7168
1000,24.4691
1001,24.2086
1002,23.9265
1003,23.6311
1004,23.3103
1005,22.9895
1006,22.6386
1007,22.2921
1008,21.9498
1009,21.5989
1010,21.2437
1011,20.8971
1012,20.5549
1013,20.204
1014,19.8746
1015,19.5581
1016,19.2545
1017,18.9639
1018,18.699
1019,18.4599
1020,18.2509
1021,18.0376
1022,17.8803
1023,17.7444
1024,17.6343
1025,17.5629
1026,17.513
1027,17.4933
1028,17.5079
1029,17.5354
1030,17.6016
1031,17.6975
1032,17.8368
1033,17.9933
1034,18.1886
1035,18.3881
1036,18.6306
1037,18.8903
1038,19.1759
1039,19.4743
1040,19.7856
1041,20.1094
1042,20.4379
1043,20.7707
1044,21.0863
1045,21.4321
1046,21.7821
1047,22.1321
1048,22.4821
1049,22.8102
1050,23.1473
1051,23.4672
1052,23.7657
1053,24.0512
1054,24.3238
1055,24.562
1056,24.7701
1057,24.9568
1058,25.1176
1059,25.2479
1060,25.3442
1061,25.419
1062,25.468
1063,25.4784
1064,25.4672
1065,25.4259
1066,25.3545
1067,25.2444
1068,25.1129
1069,24.9512
1070,24.7637
1071,24.5461
1072,24.3113
1073,24.0594
1074,23.7687
1075,23.4651
1076,23.1486
1077,22.8149
1078,22.477
1079,22.1304
1080,21.7752
1081,21.4243
1082,21.0605
1083,20.714
1084,20.3755
1085,20.0419
1086,19.7211
1087,19.4132
1088,19.1182
1089,18.8405
1090,18.5756
1091,18.3408
1092,18.1232
1093,17.94
1094,17.774
1095,17.6425
1096,17.5367
1097,17.4524
1098,17.4068
1099,17.3956
1100,17.4103
1101,17.455
1102,17.5298
1103,17.639
1104,17.774
1105,17.9172
1106,18.1082
1107,18.3206
1108,18.5588
1109,18.8142
1110,19.104
1111,19.4154
1112,19.7267
1113,20.0595
1114,20.4263
1115,20.7849
1116,21.1607
1117,21.5365
1118,21.8995
1119,22.2581
1120,22.5952
1121,22.9452
1122,23.2733
1123,23.5889
1124,23.896
1125,24.1901
1126,24.467
1127,24.7267
1128,24.952
1129,25.315
1130,25.5059
1131,25.6796
1132,25.8228
1133,25.8976
1134,25.9466
1135,25.9526
1136,25.9372
1137,25.883
1138,25.8073
1139,25.7058
1140,25.5656
1141,25.404
1142,25.2165
1143,24.986
1144,24.7598
1145,24.4906
1146,24.1914
1147,23.8921
1148,23.5756
1149,23.2548
1150,22.9169
1151,22.5402
1152,22.142
1153,21.7223
1154,21.3585
1155,21.0033
1156,20.6482
1157,20.3016
1158,19.9593
1159,19.6428
1160,19.3435
1161,19.0653
1162,18.8048
1163,18.57
1164,18.3481
1165,18.1563
1166,17.9731
1167,17.8201
1168,17.6541
1169,17.5311
1170,17.4683
1171,17.4442
1172,17.4503
1173,17.4907
1174,17.5483
1175,17.6532
1176,17.7882
1177,17.9448
1178,18.1309
1179,18.3391
1180,18.573
1181,18.8155
1182,19.0924
1183,19.3822
1184,19.685
1185,20.0049
1186,20.3334
1187,20.6701
1188,21.0072
1189,21.34
1190,21.6815
1191,22.0272
1192,22.3686
1193,22.71
1194,23.0385
1195,23.3585
1196,23.6607
1197,23.9592
1198,24.2275
1199,24.4829
1200,24.691
1201,24.8905
1202,25.0557
1203,25.1907
1204,25.2827
1205,25.3618
1206,25.4147
1207,25.4293
1208,25.4354
1209,25.3984
1210,25.3356
1211,25.2427
1212,25.1025
1213,24.9452
1214,24.7577
1215,24.553
1216,24.3225
1217,24.0662
1218,23.7928
1219,23.4892
1220,23.1727
1221,22.8562
1222,22.5268
1223,22.1932
1224,21.8552
1225,21.5172
1226,21.1792
1227,20.824
1228,20.4904
1229,20.1696
1230,19.8488
1231,19.5452
1232,19.2545
1233,18.9811
1234,18.7248
1235,18.4771
1236,18.2595
1237,18.0763
1238,17.9099
1239,17.7826
1240,17.6726
1241,17.5926
1242,17.5384
1243,17.5272
1244,17.5418
1245,17.5866
1246,17.6614
1247,17.7921
1248,17.9443
1249,18.1309
1250,18.3047
1251,18.53
1252,18.7592
1253,19.0146
1254,19.2872
1255,19.5813
1256,19.8798
1257,20.1911
1258,20.5282
1259,20.8653
1260,21.211
1261,21.5692
1262,21.9149
1263,22.2736
1264,22.6795
1265,23.0467
1266,23.3967
1267,23.7209
1268,24.0194
1269,24.2959
1270,24.5642
1271,24.811
1272,25.0277
1273,25.2057
1274,25.3709
1275,25.5016
1276,25.6108
1277,25.6899
1278,25.7389
1279,25.745
1280,25.7209
1281,25.6835
1282,25.6078
1283,25.4934
1284,25.3704
1285,25.1572
1286,24.9181
1287,24.6876
1288,24.4528
1289,24.1836
1290,23.9058
1291,23.6195
1292,23.3159
1293,23.0037
1294,22.6786
1295,22.3363
1296,21.9812
1297,21.626
1298,21.2579
1299,20.8941
1300,20.5562
1301,20.2096
1302,19.8845
1303,19.5637
1304,19.2773
1305,19.0038
1306,18.7519
1307,18.5085
1308,18.2952
1309,18.112
1310,17.946
1311,17.7973
1312,17.6872
1313,17.6029
1314,17.5526
1315,17.5328
1316,17.5388
1317,17.575
1318,17.624
1319,17.7203
1320,17.8338
1321,17.986
1322,18.1555
1323,18.355
1324,18.5803
1325,18.8228
1326,19.0778
1327,19.359
1328,19.6575
1329,19.9645
1330,20.2887
1331,20.6215
1332,20.9543
1333,21.2957
1334,21.6243
1335,21.9696
1336,22.3067
1337,22.6352
1338,22.9594
1339,23.275
1340,23.5735
1341,23.8332
1342,24.1015
1343,24.344
1344,24.5689
1345,24.7469
1346,24.9336
1347,25.0643
1348,25.1778
1349,25.2569
1350,25.2973
1351,25.3291
1352,25.318
1353,25.2896
1354,25.2311
1355,25.1425
1356,25.0153
1357,24.8751
1358,24.7259
1359,24.5728
1360,24.3896
1361,24.1505
1362,23.8899
1363,23.6165
1364,23.3086
1365,22.9964
1366,22.6756
1367,22.3505
1368,22.0212
1369,21.6875
1370,21.3409
1371,21.0115
1372,20.6649
1373,20.3442
1374,20.0406
1375,19.7499
1376,19.4721
1377,19.2029
1378,18.9553
1379,18.699
1380,18.4943
1381,18.3068
1382,18.1365
1383,17.9964
1384,17.8863
1385,17.7977
1386,17.7392
1387,17.7022
1388,17.7083
1389,17.7525
1390,17.8231
1391,17.9194
1392,18.0329
1393,18.1808
1394,18.3459
1395,18.5283
1396,18.7407
1397,18.9789
1398,19.2429
