Sampleid,Distance
705,22.5174
706,22.2525
707,22.0435
708,21.7356
709,21.3934
710,21.1371
711,20.898
712,20.6503
713,20.3897
714,20.1636
715,19.9675
716,19.7585
717,19.5882
718,19.4136
719,19.2692
720,19.129
721,19.0146
722,18.9217
723,18.8417
724,18.7871
725,18.7544
726,18.7519
727,18.7665
728,18.7897
729,18.8559
730,18.9308
731,19.0314
732,19.1535
733,19.2971
734,19.4493
735,19.6144
736,19.7968
737,19.9787
738,20.1825
739,20.4035
740,20.6202
741,20.8541
742,21.1139
743,21.3521
744,21.5989
745,21.8328
746,22.0839
747,22.3174
748,22.547
749,22.7638
750,22.9805
751,23.1671
752,23.3666
753,23.5446
754,23.7055
755,23.8534
756,23.9798
757,24.0886
758,24.1849
759,24.2425
760,24.2916
761,24.3148
762,24.3122
763,24.301
764,24.2597
765,24.197
766,24.1041
767,23.9854
768,23.871
769,23.7308
770,23.5735
771,23.386
772,23.1985
773,22.9981
774,22.7633
775,22.5367
776,22.3105
777,22.0629
778,21.8152
779,21.5718
780,21.3327
781,21.085
782,20.8159
783,20.5897
784,20.3463
785,20.1201
786,19.9069
787,19.7022
788,19.5061
789,19.3143
790,19.1569
791,19.0125
792,18.8852
793,18.8052
794,18.7209
795,18.6667
796,18.6254
797,18.61
798,18.6117
799,18.6517
800,18.7179
801,18.7927
802,18.8933
803,18.994
804,19.129
805,19.2812
806,19.4506
807,19.6372
808,19.8411
809,20.0492
810,20.2741
811,20.5123
812,20.7376
813,20.993
814,21.2656
815,21.5297
816,21.7765
817,22.0663
818,22.4378
819,22.6885
820,22.931
821,23.1865
822,23.4204
823,23.6328
824,23.8667
825,24.0447
826,24.2056
827,24.3406
828,24.467
829,24.5676
830,24.6592
831,24.7211
832,24.7659
833,24.7891
834,24.7908
835,24.7624
836,24.7254
837,24.6712
838,24.5956
839,24.4898
840,24.3797
841,24.2438
842,24.0907
843,23.9119
844,23.7287
845,23.5283
846,23.3193
847,23.0974
848,22.8498
849,22.5243
850,22.1863
851,21.9085
852,21.6393
853,21.3701
854,21.1268
855,20.892
856,20.6486
857,20.4181
858,20.1876
859,19.9787
860,19.7783
861,19.5951
862,19.4205
863,19.2545
864,19.0972
865,18.9269
866,18.834
867,18.7669
868,18.7041
869,18.6715
870,18.6646
871,18.6835
872,18.7196
873,18.7682
874,18.8301
875,18.9264
876,19.0443
877,19.1664
878,19.3272
879,19.488
880,19.6703
881,19.8484
882,20.0565
883,20.2732
884,20.4981
885,20.7234
886,20.9702
887,21.2085
888,21.4338
889,21.6849
890,21.9231
891,22.157
892,22.3824
893,22.612
894,22.8197
895,23.0278
896,23.2058
897,23.3838
898,23.5532
899,23.7098
900,23.8319
901,23.9583
902,24.0546
903,24.138
904,24.1871
905,24.2271
906,24.2417
907,24.2391
908,24.2064
909,24.1479
910,24.0895
911,23.9837
912,23.8693
913,23.7463
914,23.6018
915,23.4402
916,23.2656
917,23.0781
918,22.8863
919,22.6644
920,22.4469
921,22.2207
922,21.9902
923,21.764
924,21.5206
925,21.273
926,21.0339
927,20.8077
928,20.5725
929,20.3592
930,20.1545
931,19.9584
932,19.7796
933,19.6093
934,19.4433
935,19.3031
936,19.1887
937,19.0787
938,18.9987
939,18.9402
940,18.8903
941,18.8662
942,18.8465
943,18.8611
944,18.9058
945,18.9677
946,19.0383
947,19.1384
948,19.2735
949,19.3913
950,19.5478
951,19.7215
952,19.9124
953,20.1034
954,20.3244
955,20.5411
956,20.7535
957,20.9827
958,21.2424
959,21.472
960,21.7189
961,21.9829
962,22.2727
963,22.4722
964,22.7362
965,23.0175
966,23.1697
967,23.3731
968,23.5683
969,23.7076
970,23.877
971,23.9992
972,24.117
973,24.2047
974,24.2838
